CONNECTION ID,DATE,TIME,DURATION,PROTOCOL,SOURCE PORT,DESTINATION PORT,SOURCE IP,DESTINATION IP,IS ATTACK,ATTACK TYPE
743,6/29/98,8:15:39 AM,3:56:25,telnet,1207,23,135.013.216.191,172.016.112.050,0,-
1072,6/29/98,8:25:20 AM,4:09:04,telnet,1751,23,135.013.216.191,172.016.112.050,0,-
2274,6/29/98,8:54:53 AM,3:11:01,telnet,4938,23,135.013.216.191,172.016.112.050,0,-
2497,6/29/98,9:00:13 AM,0:00:16,telnet,5140,23,144.017.248.153,172.016.114.050,0,-
2531,6/29/98,9:01:07 AM,0:00:13,telnet,5148,23,192.065.251.021,172.016.112.194,0,-
2704,6/29/98,9:05:47 AM,3:07:59,telnet,5474,23,135.013.216.191,172.016.112.050,0,-
2731,6/29/98,9:06:35 AM,3:01:53,telnet,5670,23,135.013.216.191,172.016.112.050,0,-
3192,6/29/98,9:16:29 AM,0:00:19,telnet,6670,23,144.017.248.153,172.016.112.194,0,-
4386,6/29/98,9:46:04 AM,0:10:19,telnet,8094,23,095.031.018.118,172.016.112.050,0,-
4809,6/29/98,9:55:44 AM,0:07:48,telnet,8764,23,144.017.248.153,172.016.112.050,0,-
5420,6/29/98,10:10:58 AM,0:00:25,telnet,9305,23,144.017.248.153,172.016.112.194,0,-
5492,6/29/98,10:12:08 AM,0:00:04,telnet,10001,23,137.145.098.104,172.016.114.050,1,satan
6303,6/29/98,10:12:17 AM,0:00:07,telnet,10354,23,137.145.098.104,172.016.114.050,1,satan
10785,6/29/98,10:16:43 AM,0:00:12,telnet,21507,23,144.017.248.153,172.016.112.194,0,-
11578,6/29/98,10:34:45 AM,0:06:05,telnet,22652,23,024.049.192.050,172.016.112.050,0,-
12018,6/29/98,10:46:28 AM,0:00:20,telnet,23167,23,024.049.193.108,172.016.115.005,0,-
13515,6/29/98,11:25:20 AM,0:00:25,telnet,26069,23,144.017.248.153,172.016.112.194,0,-
15376,6/29/98,12:08:55 PM,0:00:48,telnet,29880,23,192.065.251.021,172.016.112.194,0,-
16055,6/29/98,12:23:10 PM,0:14:38,telnet,30828,23,131.033.075.158,172.016.112.050,0,-
16429,6/29/98,12:30:51 PM,0:05:09,telnet,31319,23,131.033.075.158,172.016.112.050,0,-
16596,6/29/98,12:34:22 PM,0:01:00,telnet,31852,23,144.017.248.153,172.016.112.194,0,-
17205,6/29/98,12:46:47 PM,0:05:47,telnet,1594,23,192.065.251.021,172.016.112.050,0,-
17928,6/29/98,12:57:06 PM,3:02:10,telnet,2376,23,135.013.216.191,172.016.112.050,0,-
17954,6/29/98,12:57:50 PM,0:52:35,telnet,2383,23,135.013.216.191,172.016.112.050,0,-
